gene,mrna,protein
Fkbp14,3.53,1122.65
Epn2,10.6,9234.35
2610029I01Rik,3.87,3877.91
Polr3g,4.26,5128.81
Acp2,8.68,7733.94
Tbce,8.03,5351.83
Traf1,12.13,1398.13
Strbp,1.27,4317.47
Qsox2,3.59,7982.67
Dock1,8.5,3840.88
Kdm5c,33.19,3120.7
Fars2,3.92,4905.04
Epb4.1,8.05,1742.19
Ccdc92,12.76,1622.03
Gng10,31.49,3117.83
Arhgap28,7.75,4518.63
Vprbp,8.59,4159.8
Chuk,13.36,5775.62
Lrrfip1,12.85,3801.31
Ppp1r12c,16.39,4309.38
Arpp19,15.69,3242.95
Stk4,6.47,3878.71
Agfg2,5.84,2525.13
Znf830,4.42,4327.3
Fto,14.26,9640.64
Klc4,2.77,2211.63
Lrrk1,25.53,7773.37
Arap1,5.69,2870.15
Foxf2,26.82,11729.38
Mtr,7.83,2933.46
Nme6,13.27,4086.03
Lman2l,5.8,3673.22
Mdc1,8.88,2134.88
Rab13,11.19,4464.79
Ppp2r5c,18.97,10559.7
Fanci,6.33,3252.62
Sqle,34.89,5871.82
Eya3,6.78,4512.51
Nab1,11.94,3425.99
Ecsit,11.05,4173.07
Mettl6,9.86,2745.27
Iah1,8.39,8442.59
Lcp1,2.69,8632.23
Atp7a,3.76,1841.72
Mkl2,4.07,409.05
Pik3c2a,6.99,3742.17
Col4a1,99.75,4127.64
Rabggta,3.71,3717.53
Dhx16,13.35,5168.56
Smg6,7.16,1731.89
Mrc2,13.74,4092.48
Eps15l1,10.28,4219.73
Efr3a,23.36,1407.04
Hsd17b7,2.87,5880.15
Smg8,10.78,2778.29
Fibp,23.09,1931.22
Slc27a4,11.15,5707.47
Chst14,10.14,1216.53
nan,4.09,2389.4
Rbbp6,14.29,1652.64
Dpcd,6.14,8046.93
Slc35b2,20.54,2889.61
Crkrs,9.02,2399.69
nan,4.22,17964.6
Atg4b,10.89,11165.36
1110032A13Rik,12.99,3762.7
Top3b,11.28,3257.18
Sfrs8,16.23,2086.73
Fam107b,6.08,1140.74
Snx17,29.48,2161.57
2700007P21Rik,10.51,3717.88
Med7,6.13,8616.07
Trp53bp1,7.96,3627.67
Rapgef6,6.98,2608.96
Ppt1,16.28,12765.51
Gga2,8.81,3703.22
Hsd17b8,2.69,1820.38
Acsl3,4.77,6363.41
Man2b2,11.76,4470.8
Rpap1,7.51,1977.26
Kif20a,24.43,1915.09
Vps13d,3.17,1814.89
Osbpl11,5.05,4762.89
Trim25,15.24,3652.72
nan,4.39,3768.32
Wdr44,1.59,2424.67
Mapre2,7.63,3676.1
Reps1,11.79,2065.51
Osbpl8,4.73,4322.28
Arid1a,11.97,2482.94
Dtx3l,3.09,9932.49
Znf687,10.73,448.81
Gcc2,3.05,4420.18
Rnasen,44.66,999.76
Rrn3,24.19,1764.92
Herc1,4.36,1042.3
Kif3a,4.63,2439.7
Sestd1,17.75,4336.54
Gemin6,10.52,4942.29
Irs2,14.18,2008.11
Nudt8,12.61,4499.1
Glb1,10.57,7930.91
Stx16,8.68,2484.68
Scaf1,20.29,3503.9
Cyp4f16,10.8,6306.99
Pdss2,2.3,3468.22
Kiaa0564,4.04,1768.21
Gpsm1,4.31,4505.62
nan,8.59,2080.13
Znf512,6.94,1977.38
Wdr42a,11.41,1997.14
Cog7,6.3,1967.88
Nde1,24.27,7068.03
Nek6,9.01,2676.96
Pi4kb,14.38,2777.51
Tdp1,7.47,1248.18
Chtf18,12.09,3858.69
Foxp1,25.6,3349.44
Sphk2,5.23,2048.23
Hspg2,51.08,4190.94
Elmod2,1.9,1586.85
Cd74,26.19,3687.8
Mfn2,21.22,3523.52
Fusip1,32.07,3348.23
nan,13.12,7331.86
Dido1,17.88,4773.14
Aktip,3.75,2006.22
D14Abb1e,1.62,2042.0
Ctf1,2.33,2469.35
Atp6v0a2,14.62,4746.45
Tfb2m,8.62,2746.81
Ankle2,9.08,2381.8
Setd1a,16.09,1888.09
RP23-392P11.1,7.5,1398.54
Frmd8,14.55,3489.78
Lrba,2.95,2773.6
Vezf1,19.53,738.28
Lrrfip2,9.72,1540.72
Col4a2,89.11,3006.24
Pml,8.61,7462.28
Palm,14.32,3433.58
Ftsj1,2.73,7815.7
Fam118b,8.98,2652.77
Sipa1l3,13.9,1714.12
Fem1b,12.33,1583.1
Zcchc8,7.51,3062.47
Axl,129.78,3829.88
Lrch2,2.76,3076.98
1110002N22Rik,4.6,3627.73
Dlgap5,5.01,3098.11
Spag5,14.18,1044.84
Pigu,12.39,3089.6
2310028O11Rik,14.05,7744.88
D1Ertd622e,10.28,1705.12
Aurka,23.47,941.99
Pold3,8.22,3709.35
1190002N15Rik,5.66,2693.94
Sos1,3.94,668.13
Kiaa1797,3.28,3139.29
Arhgef18,9.61,2732.56
Bptf,15.35,1412.28
Cc2d1b,9.57,2804.6
Synj2,21.6,1143.89
Ntan1,15.4,1730.07
Ehbp1,3.15,1810.24
Mnt,6.99,3486.19
Ehbp1l1,31.68,2868.23
Dcp1a,3.53,3088.19
Clk3,12.71,4767.63
Sap130,10.37,1306.51
St5,13.44,3786.09
Ivns1abp,37.31,755.5
Phf23,24.01,2225.72
Phf2,8.57,1804.6
Mtmr1,5.39,2922.96
Rufy2,4.86,3814.73
Melk,9.23,2913.1
Ttf2,8.37,3607.87
Ascc2,15.74,3043.62
Pptc7,10.01,849.03
Trim59,16.77,2516.3
Chd8,8.67,1873.96
Vps11,17.32,705.56
Fam76b,3.74,2855.71
Rnpc3,2.58,2848.57
Fkbp15,5.06,1007.54
A230054D04Rik,8.52,501.27
Tbc1d10a,9.43,1456.71
X99384,4.91,5676.95
Nacc1,34.31,1183.81
Brd3,10.38,2788.14
Dab2ip,7.41,3266.36
Amotl2,59.65,546.25
Tex2,7.56,3410.29
Usp48,11.19,1542.83
Trim26,9.03,2642.45
Ecm1,65.06,4138.73
Casc3,18.34,1418.38
Ddx11,8.15,897.69
Fastkd5,5.48,2024.21
Avl9,4.79,2125.34
Ifi202,15.76,17031.37
Ska3,4.83,6953.96
Phka1,5.71,1988.33
Pde4dip,7.27,1283.94
Kif14,1.5,6317.52
nan,13.22,7718.21
Polr3a,6.45,1679.3
Atp5j,79.03,8769.29
Taf4a,5.27,2645.59
Tbc1d4,3.21,2479.32
Lrrc16a,5.92,2766.31
Sh3pxd2a,20.61,1265.49
Ccdc88a,4.16,3356.53
Ints6,2.01,2590.59
Col5a2,57.1,3321.51
Ctu2,19.15,1975.59
Iws1,3.09,3807.43
Pi4ka,6.65,1691.54
Ankrd49,6.34,2565.92
Nedd4l,3.62,3701.49
3110043O21Rik,7.81,3081.25
Ankrd13a,25.74,2102.85
Mpp5,5.58,1437.55
Med13,8.01,1714.81
Farsb,29.67,1217.64
Cinp,12.36,914.22
Ifit1,3.03,28484.58
Unc119,16.02,1580.67
Wdr79,9.02,1220.13
Syvn1,16.99,2233.18
Pdpk1,7.8,4044.35
Dennd4c,4.78,2236.06
Kif18b,17.34,312.01
Dnajc1,6.63,2801.03
Lrch3,6.36,1696.59
Rasa4,17.65,844.99
Kifap3,8.79,1922.33
Galnt7,8.09,1383.81
Tars2,9.89,2437.49
Itsn1,1.99,1119.28
Sec22a,2.27,2375.09
Ppef1,9.85,3068.36
Zfp91,17.05,2415.1
Recql4,13.62,1893.4
Rpusd2,2.03,2413.78
Arid1b,3.47,791.7
Lrrc41,18.93,1114.97
Fblim1,22.07,6558.63
Fbxl18,5.86,890.07
Arhgef17,14.3,1400.16
4933425L03Rik,5.14,2238.79
Bmp2k,4.96,1598.42
Elovl5,21.77,7033.12
4930453N24Rik,20.44,2704.74
Fbxo21,12.17,5385.76
Etv6,6.16,2228.79
Slc4a7,5.12,2012.36
Vps52,13.64,2775.68
Tbc1d17,5.63,3349.38
Pnpla6,5.2,954.51
Scrn2,1.55,1359.62
Gtf3c1,17.24,1328.46
Mterfd1,9.15,2475.32
Rfx1,5.96,2247.71
Kiaa0930,23.06,878.12
Med24,16.52,4663.05
Ogdhl,2.91,2669.12
Vps16,13.58,3576.51
Sipa1l1,13.67,3913.32
Auh,4.0,4043.84
Map3k7,11.87,829.18
Fbxl8,2.13,1376.6
Amfr,31.93,2228.88
Tcf20,23.93,433.97
Zzef1,9.89,2898.02
Med1,12.4,624.36
Cog6,6.78,3700.92
Arhgef12,9.7,1758.45
Pi4k2a,9.67,3725.69
Aebp1,107.56,2291.41
Cacna2d1,5.85,3206.42
Zfx,8.75,2105.68
Pias1,4.84,933.75
Hdac4,6.03,2994.17
Bat2l,24.03,8934.69
Dicer1,7.3,2178.28
Hdac3,22.92,4926.06
Apbb1ip,13.1,9399.89
Tbc1d1,9.11,2024.26
Sdhd,47.31,5969.7
Ect2,13.18,2689.12
Dna2,3.57,411.64
Golga1,5.03,251.24
Trip4,2.2,1279.3
Tut1,11.8,321.66
nan,20.37,3666.11
Pcm1,8.49,2079.7
Sel1l,12.01,4512.97
Akt2,19.13,4325.83
Syde1,21.84,2244.27
Whsc1,29.69,332.13
Rbl1,5.77,1150.17
Rilpl1,5.03,2824.69
Vps18,6.68,582.7
Col7a1,23.86,439.47
Gopc,3.91,1204.01
Tlr2,11.35,2847.51
Setd2,20.01,420.09
0610011L14Rik,7.91,5688.35
Ints10,9.94,1475.28
Ints8,8.15,1011.93
Gtf2h1,17.86,2248.29
Sh3bp4,14.9,306.28
Pole,14.39,996.5
Araf,14.13,3702.58
6230416J20Rik,9.86,1841.96
Ints4,16.6,1824.97
Smcr8,10.16,1542.31
Acad11,3.12,1813.58
Ibtk,7.87,918.44
Ears2,5.67,1252.22
Mbd2,15.23,3449.68
Ube4a,5.62,1071.5
Ints2,8.11,20883.39
Rab11fip5,12.21,911.92
Srgap2,4.33,4604.59
Frap1,6.47,3715.76
Macrod1,1.88,1370.88
Eml1,29.64,1218.69
Rasal2,4.38,1204.78
Iqcb1,5.43,2190.78
Kiaa0892,8.78,3223.34
Tbc1d5,3.39,1600.89
Chm,3.36,2304.76
Gtf3c3,6.69,1308.79
Ankrd28,13.48,1089.83
Fam73b,9.88,1687.39
Mical2,29.3,1739.18
Mus81,10.37,1677.02
Ank2,2.86,1913.92
Micall1,14.55,1674.6
Gna12,29.19,1577.34
Slain2,12.82,1491.27
Yeats2,7.37,508.17
Brap,14.66,781.69
Exoc6b,8.2,3427.0
Ephb2,10.76,1550.25
Dok1,26.71,4576.49
Mtm1,1.08,455.01
Tsen2,4.35,1636.79
Ankhd1,5.77,1510.96
Arhgef11,8.08,2533.09
Slc44a2,17.64,2672.09
Cdan1,3.23,4008.84
Wdfy3,7.63,1052.35
Rapgef1,18.12,1676.71
Ubr1,4.85,2010.71
Smg7,14.41,754.53
Fbln2,101.56,463.47
nan,13.91,697.28
Phf10,29.18,1622.1
Ppp1r13b,5.7,1258.61
Nckipsd,6.13,1503.05
Th1l,19.64,5246.49
Med12,11.9,1226.59
Arfgef1,12.69,1708.15
Chd3,5.4,304.55
Rcor1,8.5,3233.25
Nedd1,5.84,912.4
Igf2r,2.47,3621.45
Slc12a9,5.27,2103.98
Ccdc132,9.04,1532.29
Cdh11,18.76,2490.56
Parp4,2.69,1704.9
Lig3,5.4,1156.4
Vac14,8.18,2220.9
Gfm2,5.33,999.8
Notch2,43.23,1749.77
Nav3,4.56,2298.25
Optn,9.19,883.96
Man1a1,4.55,735.23
Stk10,6.05,571.0
Gtf2h5,24.9,1482.02
Vps41,13.73,75.6
Slc12a4,18.08,1909.54
Tyw1,11.67,1682.51
Zc3h13,5.84,551.15
Ttc19,7.49,1662.08
Ptpn9,17.03,3585.84
Angptl2,50.37,1539.96
Cdk5rap2,7.92,714.47
Glt8d1,5.89,2169.37
Usp40,6.76,317.47
Ccny,11.37,1231.29
Acyp2,2.97,3786.95
Ell,7.5,1498.71
Dock11,4.6,2075.21
Herc2,10.23,1211.08
Cbl,6.7,194.0
Raf1,29.53,1957.12
Hexb,8.51,3148.69
Ptpra,21.46,1528.16
Cdkn2c,7.81,4356.05
AA881470,3.96,1342.68
Pak4,9.44,969.26
Nfat5,16.12,1673.93
Aim1,4.54,1987.49
Ap1gbp1,3.71,782.53
Cog5,4.44,3415.91
Plekhg3,9.54,284.01
Mtmr3,8.26,597.14
Ezh2,30.02,2155.55
Apbb2,16.12,1712.36
Wdtc1,15.9,1640.43
Plau,56.74,1737.6
Tax1bp1,34.74,6836.29
Pdzd8,9.19,488.05
Srgap3,8.72,2225.12
Tlk2,8.27,1607.1
Dgcr8,12.11,590.66
Dpy19l1,29.6,514.72
Psrc1,12.15,1286.37
Nek9,11.77,802.63
Atf7ip,9.64,472.85
Jmy,4.44,582.75
Mink1,30.58,1240.38
Znf598,20.05,658.28
Tbc1d10b,11.81,1214.13
Mrpl52,35.25,849.88
Gle1,17.16,397.53
Ssfa2,8.94,735.04
Tbc1d9b,8.33,859.58
Klhl11,11.48,1500.86
Xpo6,28.5,1871.91
Stat5a,4.27,2513.49
Alkbh8,5.58,887.16
Lphn2,12.29,813.17
Erbb2,14.9,1142.22
Ankrd52,22.69,1303.02
Trim24,11.4,657.35
Samd4a,6.71,2841.85
Tmf1,7.08,1118.66
nan,5.47,1587.48
H2-M3,7.08,1101.04
Npr3,6.06,1029.3
Atp6v0a1,8.87,2404.39
9830001H06Rik,4.86,479.55
Tcf9,2.66,1234.26
Cpt1a,17.53,1473.05
Syne1,2.65,1157.55
Bcl9l,12.71,661.08
Cog1,20.79,949.8
Usp30,10.57,233.7
Hisppd1,7.61,481.93
Klhdc4,7.17,737.69
Ttc15,7.24,1659.23
Ankib1,20.95,644.35
Llgl1,11.25,460.89
Evi5,10.07,1094.62
Ctnnal1,5.94,500.62
Prkd1,5.57,1861.0
Hirip3,12.66,915.03
Ncoa2,5.1,707.68
Sh3d19,14.67,553.56
Lrrc8a,8.02,1197.7
Helz,7.93,470.39
Fxr2,30.08,970.82
2610036D13Rik,5.18,960.01
Mpdz,10.4,1411.05
Clcn5,4.64,402.33
Farp2,3.63,947.81
Rb1cc1,8.59,846.93
Uhrf1bp1l,11.21,177.07
Camsap1,7.38,1582.97
Helb,3.62,418.8
Ank3,3.04,182.53
Cog8,8.85,1330.04
Otud7b,9.34,1048.67
nan,8.37,589.4
Myo9b,14.59,641.53
Magi3,11.12,574.2
Wwp2,26.23,1655.2
Osbpl2,18.9,3984.72
Tm9sf4,16.34,1855.77
Med14,9.3,2609.07
Ccdc102a,3.43,2504.87
nan,5.47,1368.63
Slit2,22.78,1037.78
Arhgap22,15.8,853.39
Stk25,11.09,2117.95
Paxip1,14.58,3118.66
Atad5,6.56,854.95
Zcchc6,6.87,837.08
Mcc,7.3,698.43
Tap2,20.83,3337.33
Sin3b,14.02,245.81
Trps1,2.96,605.29
Met,8.67,898.49
Kif3b,6.28,758.64
Camsap1l1,8.92,1536.87
C130039O16Rik,5.44,702.59
Wdr81,7.59,1031.09
Llgl2,5.57,779.82
F730015K02Rik,3.1,301.49
Neo1,18.7,849.02
Gpatch1,3.01,760.6
Kiaa0913,15.15,294.64
Rcor2,9.58,686.24
Aftph,12.83,261.23
Mylk,6.04,1104.26
Rufy1,5.76,735.11
Wac,8.57,311.18
Ror2,10.12,790.25
Pitpnm1,17.43,343.98
Wdr6,17.66,2154.19
Tmem131,17.35,400.81
Usp32,6.71,1107.56
Gm962,3.89,552.66
Obsl1,7.56,1271.63
6030436E02Rik,6.09,2499.5
Tubgcp5,8.79,185.45
Fbxo38,7.75,676.66
Anks1,2.93,1360.07
Znf592,8.15,939.06
Ablim1,5.54,844.06
Gpam,3.39,648.78
Mastl,4.09,2368.64
Atg2b,5.09,879.34
Kiaa1522,15.48,1904.94
Znfx1,3.95,2306.5
Pkd2,21.22,613.01
Loxl4,19.12,768.87
Plec1,119.72,543.1
RP23-136P3.1,7.8,247.02
Nfkbil2,18.17,543.83
Tsc1,3.9,435.22
Eml3,17.74,761.71
Tnrc18,14.83,226.16
Inpp5f,4.8,1048.63
Ighmbp2,2.54,529.02
Pik3cb,8.81,1390.45
Clstn1,68.77,499.37
Adar,11.56,1339.2
Iqsec1,8.19,109.98
Mycbp2,8.24,109.67
Alms1,3.03,456.17
Nbea,33.26,1043.4
Pex1,5.46,218.75
Lats1,7.26,1666.11
Eif2ak4,7.0,455.45
Pik3c3,3.93,417.8
Mipep,3.78,483.97
Ncor1,15.72,572.09
Tanc1,8.79,518.25
Telo2,7.8,708.87
Myo19,9.98,397.95
Lkap,7.02,235.93
Prkdc,2.15,386.44
Spen,5.54,444.28
Jmjd1c,11.82,179.5
Cbx6,51.27,403.09
Acap2,7.94,1224.24
Usp25,7.44,414.24
Dock6,3.47,143.32
Tsc2,10.92,318.93
Dlg5,9.73,198.63
Zcchc11,5.0,324.74
Als2,5.08,220.77
4931406P16Rik,11.01,305.66
Pcdhgc3,29.05,278.55
Fam65a,10.29,475.82
Kdm3a,9.6,386.78
Tnrc6a,17.9,223.58
Mga,6.2,110.05
Synj1,3.33,56.66
Ap4b1,7.37,192.83
Rapgef2,8.91,463.9
Kif21b,2.26,290.97
Hltf,4.08,237.08
Phf3,9.9,1355.55
Adam17,18.46,195.28
Kif7,2.82,172.55
Kif13a,5.07,120.65
Crebbp,7.12,217.23
Akap11,6.24,138.27
Plec1,119.57,135.27
Ash1l,11.04,1205.26
Atr,2.59,61.37
Ubr3,11.87,265.32
Itpr1,5.36,212.69
Mll,7.84,215.87
